filename,predict
00133f89-017d-44f5-a549-e11cf5b5221a.tiff,0
00a3e900-6616-46fe-a528-a5ac51952562.tiff,0
0116aef3-5834-4a14-8dc0-e7eb3d79f5de.tiff,0
024b107d-cd7f-4f81-a28c-50a9df08d586.tiff,0
0296a9e1-5bec-456f-9e9c-fc8849203056.tiff,0
02c16d08-1a0f-47b6-bf9e-40728f28d318.tiff,0
02cb5d0d-eee5-4f8b-ba4a-c9cb95ae57e7.tiff,0
038ba47c-cae0-41d8-a20d-13cb7de333ce.tiff,0
0499c570-eab1-4531-9297-84d072ffa137.tiff,0
04d91cf9-aad0-47ca-a780-7c1f2efd4ffd.tiff,0
04deaae5-a7a4-493f-961b-f821390f6c37.tiff,0
04ff24e8-cd48-449f-b19c-f3de1a3b5dfd.tiff,0
05181454-476f-4cb6-a9e2-08da11a2c2c4.tiff,0
051a6737-97b3-43f1-bff8-05e204a48d31.tiff,0
0554af77-a9d5-4cd6-8df0-1cd546b6b883.tiff,0
05acabac-114b-4833-b6fb-7c950f3d1fb7.tiff,0
072637e4-a660-44ce-b9e5-a75f0e89f40c.tiff,0
07973f01-5acd-4748-9f80-2295cc8e10c9.tiff,0
07a5dc3f-7de6-43be-bd30-b5638593f9be.tiff,0
07ae840a-59cc-49b8-bf92-359fce29767a.tiff,0
07b57c91-b315-444f-bde4-9785656d46f8.tiff,0
08338645-11e6-48d5-b1c7-17107b1d0ca8.tiff,0
08d011b3-2ff0-48f8-9056-02d362ee0df0.tiff,0
09545129-36ae-4cb9-8587-8a2e38a14d63.tiff,0
09eba157-a68f-4370-8da9-3dbf47752b8b.tiff,0
0ac706c5-fc92-4ff0-b848-3d2ace0707f5.tiff,0
0ae1b3c9-b883-4ea7-9744-eb6782a0b59a.tiff,0
0b7b359b-146b-4d08-adcd-33372399f1af.tiff,0
0be1e8f7-ab86-40ac-854c-2dca5ab259e1.tiff,0
0be7d6df-89b1-458d-8654-d63fa66cd4cf.tiff,0
0d8b2221-bf39-477b-99a5-756c78c2496d.tiff,0
0d92bce3-cf49-4000-a2fe-da4adb8aafbc.tiff,0
0dbb4981-0d72-4831-9baa-a73cf4a35bf2.tiff,0
0e979082-59c6-4e79-bc93-f2a9d8850213.tiff,0
0f62004d-500f-4183-97ba-ea389541ac10.tiff,0
1039f48a-b943-4033-8da4-1090d5df5f0e.tiff,0
10d26378-d934-46bb-8a7c-c29dee622087.tiff,0
111cfed0-a02b-40f1-8a96-63c4b4e17a9e.tiff,0
11942590-80b7-4831-ae32-736db92a3894.tiff,0
120904cf-dd6b-4536-9dd5-db0a245400ef.tiff,0
12784c8f-111e-4e15-908e-fdce1e9767ef.tiff,0
13165a56-2f59-4356-8f9c-01b6ca474069.tiff,0
1425cec2-2897-4eb5-b90d-c131bb466256.tiff,0
143d2d22-378e-4595-a0e4-a4d02f60ec3a.tiff,0
143de2e2-2ec8-4143-ab02-0ec3328ae893.tiff,0
14adb167-9c3f-4fb4-8399-c7caa584b651.tiff,0
