,filepath,numberEmpty,nonWhiteFraction,possibleShapes,possibleImages,nonEmptySections
0,./DANE/train_set/form\3d1e7064-bd71-4b14-96f3-90733458aea2.tiff,0.10025062656641603,0.5144681697612732,4,4,1.0
1,./DANE/train_set/form\3dac9a71-ecdc-45a5-b87c-3221fe76d4ff.tiff,0.10130718954248366,0.12654111405835544,7,1,1.0
2,./DANE/train_set/form\3e0822f4-b614-4fb1-aa31-2f4b84097479.tiff,0.1346153846153846,0.04322908622908623,1,1,0.6666666666666666
3,./DANE/train_set/form\3e7952a9-6dc6-429c-8bad-61fce0d2beff.tiff,0.11052631578947368,0.0369548969072165,1,1,1.0
4,./DANE/train_set/form\3ef0adbb-c298-432f-98a6-06e1b76c26a9.tiff,0.13432835820895522,0.010046419098143236,1,1,0.25
5,./DANE/train_set/form\3f369c12-6372-4216-91bf-85f82486dc30.tiff,0.12931034482758622,0.029241312741312742,1,1,0.6666666666666666
6,./DANE/train_set/form\3f4673e0-3f52-4aba-882a-63d49f7e9202.tiff,0.14150943396226415,0.027051724137931034,1,0,1.0
7,./DANE/train_set/form\3f65f9ef-76ff-4edf-8734-5baafdd7c2e2.tiff,0.11235955056179775,0.06087400530503979,1,0,1.0
8,./DANE/train_set/form\3fe32167-ee69-414e-8dba-36849a7a07fa.tiff,0.1443850267379679,0.4772009283819629,8,2,1.0
9,./DANE/train_set/form\400d811f-aee5-4cd7-8b14-64006a1566dd.tiff,0.15508021390374332,0.20829536679536678,3,1,0.5
10,./DANE/train_set/form\4042ca52-e5b4-4333-9aef-69f9c208bb2e.tiff,0.06810035842293907,0.06106982543640898,1,1,1.0
11,./DANE/train_set/form\405e4dd4-bb3b-4bc2-985b-de27a12cde9a.tiff,0.2,0.019309018567639256,1,1,0.25
12,./DANE/train_set/form\40d2e746-1b8f-42f8-a04d-08259355fe67.tiff,0.11491442542787286,0.08332559681697613,2,2,1.0
13,./DANE/train_set/form\41148847-40dc-44da-9b78-dfafba0ef8f9.tiff,0.13333333333333333,0.061769922879177375,2,1,1.0
14,./DANE/train_set/form\415be187-8ec3-476e-b5df-b01a4d95c750.tiff,0.12087912087912088,0.5928868286445013,10,6,1.0
15,./DANE/train_set/form\425c6349-38e6-44a4-88c5-6322d9f9fc4d.tiff,0.06914893617021277,0.0560106100795756,2,1,1.0
16,./DANE/train_set/form\426d8a5f-d50f-4d5b-8a3c-3b7da00eb89e.tiff,0.06521739130434782,0.012760610079575596,1,1,0.75
17,./DANE/train_set/form\42daeaa7-c466-4a17-b48d-580d5326a760.tiff,0.1076923076923077,0.2463633952254642,2,2,1.0
18,./DANE/train_set/form\42fd8796-bda3-409d-9722-a38242c9bacb.tiff,0.15853658536585366,0.22999535809018568,1,1,1.0
19,./DANE/train_set/form\43e8a0e0-24fa-49c6-bee0-3db09a356a51.tiff,0.04297994269340974,0.07759151193633952,2,1,1.0
20,./DANE/train_set/form\447c838e-c655-424d-bec0-668e7057353d.tiff,0.11188811188811189,0.45901290322580646,1,1,0.6666666666666666
21,./DANE/train_set/form\44b277a6-3396-4606-b382-95ed73bcf06c.tiff,0.045454545454545456,0.08567746113989637,2,2,1.0
22,./DANE/train_set/form\45d6530d-a4c3-4691-8c3b-9f4b82a779f7.tiff,0.07430340557275542,0.23014323607427056,4,3,1.0
23,./DANE/train_set/form\4634e2e8-49cd-46fc-93e0-59a241899e5a.tiff,0.04477611940298507,0.054843501326259946,0,0,1.0
24,./DANE/train_set/form\465365bd-d870-47ff-b54e-413cefbc5248.tiff,0.11642411642411643,0.4988740053050398,2,2,1.0
25,./DANE/train_set/form\4757feeb-ed3f-484e-8b8e-ab074b6383b0.tiff,0.0918918918918919,0.34923101673101675,3,3,0.6666666666666666
26,./DANE/train_set/form\478fcf47-a63b-4328-9544-fcd83b7bc974.tiff,0.12757201646090535,0.44541956241956243,3,2,0.6666666666666666
27,./DANE/train_set/form\480cf36a-c11c-4bb5-bdbf-ad17f316f1b0.tiff,0.1111111111111111,0.24053795811518325,3,2,0.75
28,./DANE/train_set/form\484b1227-7fa4-415c-8dc1-ffe44b54cfe4.tiff,0.11728395061728394,0.056723474801061005,1,1,1.0
29,./DANE/train_set/form\4855ac9d-c78d-44b0-a287-5b4547a10eb2.tiff,0.0625,0.2553574270557029,1,1,0.75
30,./DANE/train_set/form\48bb5a0c-0209-4270-ac58-ee1d5000ae39.tiff,0.22058823529411764,0.1112296918767507,2,2,0.75
31,./DANE/train_set/form\4907c264-3a42-4237-a463-2337844b4cf4.tiff,0.09230769230769231,0.10113063660477453,3,2,1.0
32,./DANE/train_set/form\4917c88c-6b7f-4d2b-afc9-4faf90dbf76c.tiff,0.07894736842105263,0.0758023872679045,0,0,1.0
33,./DANE/train_set/form\499f6f26-15ec-4c94-8e48-83e67e3c975c.tiff,0.028846153846153848,0.09151127320954908,1,1,1.0
34,./DANE/train_set/form\49ce2f9d-052b-4a77-89ad-333fbe7a56c0.tiff,0.06280193236714976,0.04053448275862069,0,0,1.0
35,./DANE/train_set/form\4a644a50-b21f-46c7-8fcc-bbf6ee73a4ea.tiff,0.10855263157894737,0.3615562579013906,2,1,0.6666666666666666
36,./DANE/train_set/form\4a74b02f-4763-4397-91a0-9a8fe3fc10c7.tiff,0.2011173184357542,0.3825,1,1,0.75
37,./DANE/train_set/form\4ac423a7-1a26-4656-855a-28b9d8ad3964.tiff,0.22,0.02765438373570521,1,1,0.16666666666666666
38,./DANE/train_set/form\4b235a5d-18f0-4d32-bb9c-3f41d3ea4aed.tiff,0.08870967741935484,0.04079268292682927,0,0,0.6666666666666666
39,./DANE/train_set/form\4b3de842-42b4-4eab-b0bd-3cf91c7f739c.tiff,0.17765042979942694,0.5380338196286473,1,1,1.0
40,./DANE/train_set/form\4c02e4a8-9138-4091-ac93-857322f26c52.tiff,0.11940298507462686,0.2636478779840849,3,2,1.0
41,./DANE/train_set/form\4c953c7a-f053-4bdb-972f-5fcdb0302834.tiff,0.11475409836065574,0.12330835543766579,5,2,1.0
42,./DANE/train_set/form\4d05938d-27b0-4b98-be12-30dfbc310cdb.tiff,0.07169811320754717,0.07045366795366795,3,1,0.6666666666666666
43,./DANE/train_set/form\4d0ef0db-169d-4edf-aa82-e1e507d396a1.tiff,0.13945578231292516,0.05592020592020592,1,1,0.6666666666666666
44,./DANE/train_set/form\4e11a6e9-5adc-497f-8bb9-b2cd613af188.tiff,0.11029411764705882,0.07925706940874036,1,1,1.0
45,./DANE/train_set/form\4eda5b64-bfb0-4055-b58c-6b95e46b9a7c.tiff,0.07692307692307693,0.0455895225464191,1,1,1.0
46,./DANE/train_set/form\4eff75a7-2315-4fb7-958f-559aa5943426.tiff,0.175,0.12146525096525096,2,2,0.6666666666666666
47,./DANE/train_set/form\4fafd58f-e11a-492b-967b-18fb4eb7921d.tiff,0.13705583756345177,0.0746425879396985,3,1,1.0
48,./DANE/train_set/form\4ff4af28-6f0d-4bb5-a383-29f0fd82daa5.tiff,0.08163265306122448,0.020762548262548263,0,0,0.6666666666666666
49,./DANE/train_set/form\5034b989-4d2b-4be0-ae1a-9699de64d8ef.tiff,0.112,0.04063695090439277,1,1,1.0
50,./DANE/train_set/form\50df8660-65d2-4d1b-a6c5-9419c5006383.tiff,0.12195121951219512,0.02094309462915601,1,0,0.75
51,./DANE/train_set/form\50e6f2c4-22f7-426b-bd80-cdf0665d23f7.tiff,0.06666666666666667,0.03317307692307692,0,0,1.0
52,./DANE/train_set/form\514ffe42-74ef-4e01-9264-c9e5fada8810.tiff,0.15151515151515152,0.5152579575596817,1,1,1.0
53,./DANE/train_set/form\516f69aa-e867-43b9-9fdb-733759a23a50.tiff,0.06542056074766354,0.22734350132625994,2,2,1.0
54,./DANE/train_set/form\51dcd0bb-69eb-48c8-acd5-912cf1f4cb0a.tiff,0.13636363636363635,0.023021220159151194,0,0,1.0
55,./DANE/train_set/form\522e388c-f972-4513-9224-184fb81ad44d.tiff,0.05822784810126582,0.08530371352785146,2,1,1.0
56,./DANE/train_set/form\5234b237-e129-4eb5-a795-d8d3343b64dc.tiff,0.1320754716981132,0.027411726804123713,0,0,0.75
57,./DANE/train_set/form\5237ff93-cb7d-464a-aa63-b039f997df06.tiff,0.10638297872340426,0.03721220159151194,1,1,1.0
58,./DANE/train_set/form\52b9d90b-eead-493a-a391-7e89475605a6.tiff,0.16944024205748864,0.05451863753213368,2,1,1.0
59,./DANE/train_set/form\52bedec0-b3b2-4d41-9dd1-0acc4ff951da.tiff,0.14285714285714285,0.04367175066312998,0,0,1.0
60,./DANE/train_set/form\52d2f9e9-5e27-433f-ac26-97373cca3201.tiff,0.1298342541436464,0.07300066312997347,3,2,1.0
61,./DANE/train_set/form\536d6920-6f31-4978-89df-be97325cb787.tiff,0.18666666666666668,0.06574710424710424,2,1,0.6666666666666666
62,./DANE/train_set/form\542fe8aa-45b0-4494-a824-10bd963413f3.tiff,0.0670391061452514,0.12177851458885941,3,0,1.0
63,./DANE/train_set/form\548b6712-f709-4861-b00b-0660641e3c7b.tiff,0.13917525773195877,0.3982579575596817,2,2,1.0
64,./DANE/train_set/form\54a892bd-211d-41f5-b3ee-14752aa8cda0.tiff,0.08552631578947369,0.04271750663129974,0,0,1.0
65,./DANE/train_set/form\54a8fa5e-38e6-4f8e-8a48-e6f154bb53e8.tiff,0.14342629482071714,0.09435135135135135,4,2,0.6666666666666666
66,./DANE/train_set/form\5500075d-4fe5-4a6d-a712-8753f0bcdc27.tiff,0.08009153318077804,0.23578033205619411,2,2,0.6666666666666666
67,./DANE/train_set/form\5565939b-96f5-493d-a448-130b19ec85b8.tiff,0.08545727136431784,0.2951516709511568,7,5,1.0
68,./DANE/train_set/form\560fb5b3-80e3-46c2-b4e1-ecb6cbc6f4c2.tiff,0.11,0.012232758620689656,0,0,0.75
69,./DANE/train_set/form\56615a73-73e7-4c65-9549-cb7629bb2b3c.tiff,0.07236842105263158,0.10758676092544987,6,6,1.0
70,./DANE/train_set/form\56857118-51ca-412e-9735-c2dd86ce39db.tiff,0.14968152866242038,0.1525058365758755,4,2,0.5
71,./DANE/train_set/form\571889dd-fc9e-4c38-a0ba-db5fc21b28cf.tiff,0.078125,0.09400663129973474,2,2,1.0
72,./DANE/train_set/form\57ceaba0-9651-435c-bd85-36279bf42bcc.tiff,0.11564625850340136,0.034374668435013266,2,1,1.0
73,./DANE/train_set/form\58251a97-f2e1-43be-aaf6-60e725d926c1.tiff,0.0752212389380531,0.4333793103448276,8,7,1.0
74,./DANE/train_set/form\58e5d618-cb84-4439-9746-45502f60408a.tiff,0.06990881458966565,0.10607528957528957,4,4,0.6666666666666666
75,./DANE/train_set/form\5ab57b4b-9355-469d-8cee-07f17f5a3aa2.tiff,0.05660377358490566,0.05514213197969543,2,1,1.0
76,./DANE/train_set/form\5b51305a-b9b8-4cdc-9ea3-a1da1b685562.tiff,0.18848167539267016,0.13766531713900135,2,1,0.3333333333333333
77,./DANE/train_set/form\5bb38a2d-25c9-4bca-afcb-49cdeb8eaaac.tiff,0.07250755287009064,0.06463461538461539,1,1,1.0
78,./DANE/train_set/form\5be0b205-9631-45fb-995c-f74acb52ff6e.tiff,0.1010752688172043,0.15139588859416445,1,1,1.0
79,./DANE/train_set/form\5c14e89a-579e-4be7-839d-7e99f26d6597.tiff,0.12322274881516587,0.030666023166023165,0,0,0.6666666666666666
80,./DANE/train_set/form\5caa8d70-4fa8-46ce-aafd-87061c138906.tiff,0.15137614678899083,0.0512853470437018,1,1,1.0
81,./DANE/train_set/form\5cb53c19-2438-493e-a094-1c327d97bcb6.tiff,0.10893854748603352,0.5397689832689833,1,1,0.6666666666666666
82,./DANE/train_set/form\5cfe1330-bd58-41af-9e87-fa744fb42468.tiff,0.1323529411764706,0.12918275418275418,3,1,0.6666666666666666
83,./DANE/train_set/form\5d7c5176-0647-4b90-88c7-ac195cc464ca.tiff,0.07957559681697612,0.2091657824933687,2,2,1.0
84,./DANE/train_set/form\5d86f418-d350-4b33-90c5-2ccdf09ec3a1.tiff,0.0989010989010989,0.024571618037135277,1,0,1.0
