,filepath,hasTable,numberEmpty,nonWhiteFraction,possibleShapes,possibleImages
0,wszystkie_zdj/train/0001ea99-0c87-4ed7-b658-fecb779186ef.tiff,True,0.0423728813559322,0.021114058355437667,0,0
1,wszystkie_zdj/train/00133f89-017d-44f5-a549-e11cf5b5221a.tiff,True,0.14634146341463414,0.5757194960212202,4,2
2,wszystkie_zdj/train/0016b62a-bec9-45e1-b49b-aa76ed28b24c.tiff,True,0.0641025641025641,0.023730769230769232,0,0
3,wszystkie_zdj/train/0025418f-0afe-458e-bb61-aa26fbcb2cf9.jpg,True,0.09111617312072894,0.7628171296296297,2,1
4,wszystkie_zdj/train/002604f4-259f-44d3-bd0c-37ea1ead946f.tiff,True,0.22357019064124783,0.47926962676962676,2,1
5,wszystkie_zdj/train/002ca5b9-1d65-4748-a619-f0b7406e0741.tiff,True,0.044270833333333336,0.14065701415701415,3,1
6,wszystkie_zdj/train/002dbe76-e499-4b44-b2f4-c9d039592984.jpg,True,0.08888888888888889,0.053160185185185185,1,0
7,wszystkie_zdj/train/002e7e22-048e-4cf8-be5a-d3789d656b35.tiff,True,0.14761904761904762,0.2662334217506631,13,2
8,wszystkie_zdj/train/003a221a-1383-4695-ad08-87c9ee201f0d.jpg,True,0.10512129380053908,0.5082888888888889,2,1
9,wszystkie_zdj/train/003a526b-7082-4673-b87f-7229853e2f5d.tiff,True,0.10778443113772455,0.8499678477690289,1,1
10,wszystkie_zdj/train/00441da6-0614-442f-b754-6028d47dd2b8.tiff,True,0.046875,0.028220159151193636,1,1
11,wszystkie_zdj/train/0049bd7c-6d39-48bd-8069-431533dae9bd.jpg,True,0.10144927536231885,0.6427976851851852,2,1
12,wszystkie_zdj/train/0059d81f-65ca-43f4-9842-4c1ad34e7481.tiff,True,0.06287425149700598,0.4548918918918919,1,1
13,wszystkie_zdj/train/005b8895-6f45-4ee4-9bbb-ccb6173ab7cb.tiff,True,0.14329268292682926,0.27092970822281165,4,3
14,wszystkie_zdj/train/005c1334-2d06-4965-a274-32017b1d113e.tiff,True,0.16363636363636364,0.17367503217503216,4,3
15,wszystkie_zdj/train/0064d0a7-dba8-46c6-a57d-241f3b154e19.tiff,True,0.03254437869822485,0.8139079118028535,1,1
16,wszystkie_zdj/train/006a9965-f58a-4a33-bd85-beab002f7e4c.tiff,True,0.15151515151515152,0.02719029374201788,2,1
17,wszystkie_zdj/train/0071d20d-d733-479c-9f94-4a3ad0aee70b.tiff,True,0.12,0.06943569553805774,4,3
18,wszystkie_zdj/train/007b4213-95c1-4a24-91dc-0d6bf521ff64.jpg,True,0.2,0.03637592592592592,0,0
19,wszystkie_zdj/train/007c98ec-9955-497f-8e74-2e7d85d75bf6.tiff,True,0.03482587064676617,0.047599758162031436,0,0
20,wszystkie_zdj/train/008329b6-31cc-4829-8706-606b1d26c57e.tiff,True,0.2,0.7178877952755905,1,1
21,wszystkie_zdj/train/0090043f-095f-4680-99be-a1456cd32834.tiff,True,0.12903225806451613,0.009213527851458885,0,0
22,wszystkie_zdj/train/0099ed1d-42a6-4dc7-ac97-fe3bb86e3370.tiff,True,0.05198776758409786,0.09966151866151866,1,1
23,wszystkie_zdj/train/009aa99b-82f2-42c8-94b0-142fedb73466.tiff,True,0.17204301075268819,0.31135521235521235,3,2
24,wszystkie_zdj/train/009b7ddb-0578-4b47-9585-838c85bf1a23.tiff,True,0.06030150753768844,0.04899270557029178,0,0
25,wszystkie_zdj/train/009d1c3a-7899-43ce-9932-51305dbcbac4.tiff,True,0.0641025641025641,0.02561206896551724,1,1
26,wszystkie_zdj/train/00a3e900-6616-46fe-a528-a5ac51952562.tiff,True,0.16161616161616163,0.722687898089172,2,1
27,wszystkie_zdj/train/00abc9dc-c60d-4202-932e-2b45873b4fa5.jpg,True,0.0967741935483871,0.05473981481481482,0,0
28,wszystkie_zdj/train/00b84bfc-c568-4de8-a1c0-c8060e5d1975.tiff,True,0.08571428571428572,0.02224137931034483,1,0
29,wszystkie_zdj/train/00ba099f-d919-4a46-a31d-cf5f583f8993.jpg,True,0.09090909090909091,0.0395,0,0
30,wszystkie_zdj/train/00c41fc1-bfa8-44c4-8cb8-36e4dc9d8631.tiff,True,0.08614232209737828,0.019392572944297082,0,0
31,wszystkie_zdj/train/00c8b3a9-ac1f-43ee-88b0-926e8a308713.tiff,True,0.015384615384615385,0.058282496782496786,0,0
32,wszystkie_zdj/train/00cf6298-b557-4fc8-a23d-4cd998d58440.tiff,True,0.0572289156626506,0.04838307493540052,0,0
33,wszystkie_zdj/train/00d11cfb-7b1d-4854-8eef-8190a498124d.jpg,True,0.2,0.0462875,0,0
34,wszystkie_zdj/train/00de9dce-de99-44e2-8165-f7a9bc523b1f.tiff,True,0.025597269624573378,0.06222944297082228,0,0
35,wszystkie_zdj/train/00e8d26b-d1f4-4888-9d3b-984d5895ec30.tiff,True,0.06493506493506493,0.04221694480102696,0,0
36,wszystkie_zdj/train/00ea6e26-1b93-4328-bdcb-2df5c1c32a42.tiff,True,0.032618825722273995,0.11746883289124668,1,1
37,wszystkie_zdj/train/00ed5740-c091-4dac-838f-ea20a36bfa27.tiff,True,0.09152542372881356,0.042630636604774536,0,0
38,wszystkie_zdj/train/00ef5ba8-dfdf-461b-a269-811fb3bbf25a.tiff,True,0.13861386138613863,0.014527188328912467,0,0
39,wszystkie_zdj/train/00f01d34-6667-487f-b6b9-ec6a921d5f8f.tiff,True,0.03292181069958848,0.03045320197044335,0,0
40,wszystkie_zdj/train/00f16610-98f6-4f83-a517-5f6663c59f41.tiff,True,0.23076923076923078,0.5969350393700787,1,1
